system:index,BurnDate,FirstDay,LastDay,QA,Uncertainty,BurnMonth
3917_0,193,175.5,189.5,3,2,6
4281_0,210,177.5,189.5,3,2,6
4355_0,341,175,190,3,2,11
4422_0,178,175.5,189,3,1,5
4461_0,170,175,189.5,3,2,5
4494_0,339,176,189.5,3,2,11
4550_0,243,177.5,190,3,8,7
4794_0,222,177,187.5,3,1,7
4886_0,232,205.5,214,3,4,7
4905_0,245,175,189,3,2,8
5255_0,196,175,190,3,3,6
5416_0,340,175,189.5,3,3,11
5549_0,349,178,190,3,4,11
5565_0,285,176,190,3,1,9
5597_0,286,176,190,3,1,9
5788_0,268,175.5,190,3,1,8
5868_0,235,177.5,189.5,3,1,7
5878_0,181,175,189.5,3,2,5
5955_0,217,190,233,3,8,7
6185_0,339,175,189.5,3,1,11
6281_0,263,176.5,189.5,3,1,8
6333_0,191,175.5,190,3,3,6
6404_0,251,178,190,3,1,8
6484_0,284,176,190,3,2,9
6610_0,282,175.5,190,3,2,9
6662_0,233,177.5,190,3,3,7
6681_0,282,175.5,190,3,2,9
6738_0,350,174.5,190,3,2,11
6807_0,343,174.5,189.5,3,4,11
6894_0,339,175,189.5,3,2,11
6933_0,190,175.5,190,3,3,6
7022_0,284,175,190,3,3,9
7044_0,211,177,189,3,2,6
7054_0,342,176.5,189.5,3,8,11
7285_0,246,177,190,3,7,8
7456_0,190,175,189.5,3,2,6
7466_0,192,175.5,190,3,1,6
7469_0,344,174.5,190,3,5,11
7609_0,282,176,190,3,2,9
7657_0,282,176.5,190,3,2,9
7891_0,283,175.5,190,3,4,9
7902_0,231,175.5,190,3,1,7
7940_0,159,175,190,3,1,5
7981_0,140,174.5,189.5,3,1,4
8030_0,198,175.5,190,3,2,6
8054_0,192,175.5,190,3,1,6
8156_0,340,175,189.5,3,2,11
8160_0,292,176,189.5,3,1,9
8187_0,283,176.5,190,3,3,9
8212_0,343,177.5,188.5,3,4,11
8237_0,284,175.5,190,3,1,9
8436_0,234,177,190,3,4,7
8505_0,287,175.5,190,3,4,9
8570_0,284,175,190,3,3,9
8724_0,340,178.5,187,3,3,11
8734_0,246,176.5,190,3,10,8
8803_0,210,177,188.5,3,3,6
8876_0,242,176.5,190,3,10,7
9098_0,339,175,190,3,2,11
9107_0,193,175.5,189,3,1,6
9121_0,199,175.5,190,3,4,6
9244_0,200,176,190,3,2,6
9255_0,282,175.5,190,3,2,9
9446_0,245,177.5,190,3,13,8
9454_0,228,177.5,190,3,2,7
9543_0,237,175,190,3,1,7
9575_0,344,177,190,3,2,11
9582_0,139,174.5,189.5,3,2,4
9612_0,221,177,190,3,1,7
9829_0,282,176,190,3,2,9
9944_0,339,175,189.5,3,1,11
10067_0,340,175,189.5,3,4,11
10109_0,339,175,190,3,2,11
10237_0,191,175.5,190,3,3,6
10309_0,243,175,189.5,3,4,7
10345_0,282,176,190,3,2,9
10485_0,227,177,190,3,5,7
10502_0,339,175,190,3,2,11
10507_0,140,174.5,189.5,3,1,4
10573_0,195,174.5,189.5,3,3,6
10633_0,237,179,190,3,15,7
10753_0,340,177.5,188.5,3,3,11
10838_0,282,175.5,190,3,2,9
10936_0,110,174.5,190,3,1,3
11025_0,201,175.5,190,3,1,6
11136_0,291,175,190,3,3,9
11137_0,239,178,190,3,1,7
11240_0,342,178.5,187,3,7,11
11344_0,247,178.5,220,3,9,8
11345_0,203,175.5,190,3,1,6
11404_0,238,178,190,3,1,7
11413_0,240,177,190,3,5,7
11495_0,282,175,190,3,2,9
11507_0,218,176,189,3,1,7
11537_0,252,177.5,210.5,3,1,8
11538_0,208,177,189.5,3,1,6
11557_0,203,176,190,3,1,6
11774_0,193,177,189.5,3,1,6
11873_0,339,176.5,189.5,3,2,11
12017_0,66,175.5,190,3,3,2
12044_0,343,174.5,190,3,5,11
12306_0,339,176,190,3,2,11
12407_0,247,178.5,190,3,7,8
12515_0,288,177,190,3,2,9
12601_0,346,174.5,190,3,7,11
12634_0,179,179.5,189,3,1,5
12639_0,190,175.5,190,3,3,6
12684_0,201,177,190,3,4,6
12803_0,246,175,189.5,3,3,8
12823_0,191,175.5,190,3,3,6
12916_0,339,175,190,3,2,11
13043_0,344,174.5,189.5,3,3,11
13344_0,193,175.5,189.5,3,2,6
13393_0,229,177,190,3,4,7
13424_0,246,176.5,190,3,7,8
13467_0,343,176.5,190,3,5,11
13556_0,199,175.5,190,3,2,6
13613_0,343,175,190,3,5,11
13741_0,344,174.5,190,3,3,11
13770_0,340,174.5,189,3,2,11
14074_0,282,175.5,190,3,2,9
14079_0,246,177.5,189.5,3,10,8
14180_0,210,177.5,189,3,1,6
14271_0,210,177,189.5,3,2,6
14295_0,190,176,190,3,4,6
14423_0,228,176.5,190,3,1,7
14734_0,189,176,190,3,3,6
14780_0,192,176.5,190,3,5,6
14788_0,199,174.5,189.5,3,2,6
14906_0,233,177,190,3,9,7
14918_0,282,176,190,3,2,9
14951_0,282,176,190,3,2,9
14979_0,282,176.5,190,3,2,9
15350_0,350,178,189.5,3,3,11
15469_0,339,175,189.5,3,2,11
15477_0,246,176.5,189.5,3,4,8
15504_0,211,178.5,189.5,3,2,6
15616_0,247,177.5,190,3,9,8
15626_0,190,176,190,3,4,6
15831_0,244,176.5,189.5,3,10,8
15843_0,242,179,244.5,3,14,7
15899_0,195,174.5,189.5,3,1,6
16213_0,200,175.5,190,3,2,6
16346_0,247,176.5,220,3,5,8
16401_0,263,176,190,3,2,8
16419_0,215,175,189.5,3,3,7
16465_0,282,175.5,190,3,2,9
16776_0,246,178,190,3,8,8
16829_0,214,176,188.5,3,7,7
16876_0,189,174.5,190,3,1,6
16903_0,188,178,190,3,1,6
16950_0,344,174.5,190,3,5,11
17020_0,246,206.5,250.5,3,7,8
17068_0,198,175.5,190,3,2,6
17144_0,243,179.5,189.5,3,1,7
17162_0,283,175.5,189.5,3,2,9
17168_0,234,176.5,190,3,3,7
17267_0,347,174.5,189,3,1,11
17347_0,342,174.5,189,3,3,11
17371_0,339,175,190,3,2,11
17404_0,343,174.5,189.5,3,4,11
17429_0,139,174.5,189.5,3,2,4
17462_0,198,176.5,190,3,2,6
17502_0,200,176,190,3,2,6
17699_0,339,176.5,189.5,3,2,11
17742_0,284,176.5,190,3,1,9
17873_0,244,175,189,3,4,8
17901_0,215,175,189.5,3,3,7
17902_0,199,175.5,190,3,3,6
18355_0,276,191,262,3,3,9
18368_0,240,177.5,219,3,1,7
18434_0,247,177,190,3,10,8
18883_0,339,175,189.5,3,2,11
19097_0,287,176.5,190,3,1,9
19228_0,344,175,190,3,6,11
19444_0,282,176,190,3,2,9
19547_0,284,175.5,190,3,1,9
19584_0,247,179,190,3,11,8
19676_0,345,175,190,3,8,11
19679_0,239,177.5,190,3,1,7
19963_0,200,175.5,190,3,2,6
20036_0,342,177.5,187.5,3,7,11
20279_0,196,174.5,189.5,3,3,6
20475_0,283,176.5,190,3,3,9
20498_0,283,175.5,190,3,4,9
20533_0,244,177.5,190,3,1,8
20711_0,343,176.5,190,3,5,11
20751_0,286,176.5,190,3,1,9
20824_0,284,175.5,190,3,3,9
20964_0,340,175,190,3,3,11
21086_0,190,177,190,3,3,6
21141_0,282,177,189,3,2,9
21234_0,224,177,213,3,1,7
21295_0,228,177.5,190,3,8,7
21296_0,236,205.5,246.5,3,3,7
21345_0,283,175.5,190,3,4,9
21522_0,178,175,189,3,1,5
21581_0,194,174.5,189.5,3,4,6
21708_0,282,175.5,190,3,2,9
22060_0,343,176.5,190,3,5,11
22200_0,341,174.5,189.5,3,3,11
22202_0,339,175,189.5,3,2,11
22285_0,282,175.5,190,3,2,9
22404_0,246,179.5,220,3,6,8
22434_0,198,175.5,190,3,2,6
22461_0,283,175.5,190,3,3,9
22474_0,200,175.5,190,3,2,6
22586_0,172,177,188.5,3,3,5
22596_0,343,175,190,3,4,11
22624_0,344,176,190,3,7,11
22713_0,193,177.5,187.5,3,1,6
22730_0,285,175.5,190,3,4,9
22732_0,184,174.5,190,3,2,6
22786_0,208,177.5,189.5,3,1,6
22883_0,191,175.5,189.5,3,3,6
22982_0,237,174.5,190,3,1,7
22991_0,240,177.5,189.5,3,1,7
23014_0,252,177,190,3,1,8
23102_0,345,174.5,190,3,5,11
23118_0,194,174.5,189.5,3,4,6
23154_0,190,176,190,3,2,6
23739_0,248,176.5,190,3,7,8
23873_0,339,175,189.5,3,2,11
23946_0,244,179,190,3,17,8
24017_0,282,175.5,190,3,2,9
24122_0,214,176,190,3,3,7
24129_0,344,174.5,190,3,4,11
24404_0,262,175.5,190,3,1,8
24551_0,343,175,190,3,5,11
24570_0,344,174.5,190,3,4,11
24589_0,345,177.5,190,3,8,11
24708_0,283,175.5,190,3,4,9
24895_0,274,208.5,219.5,3,1,9
24987_0,350,176.5,190,3,3,11
25027_0,191,175.5,190,3,3,6
25047_0,258,175,189.5,3,5,8
25057_0,139,174.5,189.5,3,1,4
25440_0,244,177,218,3,10,8
25677_0,201,175.5,190,3,3,6
25728_0,210,177,190,3,1,6
25760_0,248,175,190,3,6,8
25795_0,350,174.5,190,3,2,11
25836_0,110,174.5,189.5,3,1,3
25950_0,196,174.5,189.5,3,3,6
26375_0,342,178,187.5,3,7,11
26576_0,344,174.5,190,3,5,11
26591_0,190,177.5,190,3,2,6
26848_0,217,177.5,187.5,3,8,7
26881_0,192,175.5,190,3,1,6
27056_0,217,177.5,189.5,3,1,7
27086_0,282,175.5,190,3,2,9
27105_0,293,175,190,3,1,9
27118_0,161,176,190,3,3,5
27171_0,249,176.5,190,3,6,8
27210_0,223,177,189.5,3,1,7
27324_0,338,175,190,3,1,11
27347_0,248,175,190,3,8,8
27400_0,246,177,190,3,10,8
27508_0,222,177,190,3,1,7
27823_0,189,175.5,190,3,2,6
27864_0,245,176.5,188.5,3,2,8
27865_0,250,176.5,220,3,2,8
28059_0,209,190,236,3,1,6
28312_0,342,175,190,3,3,11
28657_0,340,175,190,3,3,11
28670_0,341,175,189.5,3,1,11
28987_0,286,175.5,190,3,1,9
29077_0,345,174.5,190,3,3,11
29106_0,339,175,189.5,3,2,11
29143_0,341,178.5,187,3,1,11
29255_0,339,175,189.5,3,2,11
29279_0,350,177,190,3,2,11
29350_0,340,175,190,3,3,11
29474_0,241,176.5,189.5,3,2,7
29581_0,190,175.5,189,3,1,6
29605_0,339,175,190,3,1,11
29792_0,245,175,189,3,2,8
29796_0,282,176.5,190,3,2,9
30043_0,191,174.5,189.5,3,2,6
30122_0,284,176,190,3,3,9
30199_0,342,177.5,187,3,7,11
30215_0,178,176,189.5,3,1,5
30312_0,339,176.5,189,3,1,11
30640_0,343,175,190,3,4,11
30788_0,228,177.5,212.5,3,1,7
30852_0,138,174.5,189.5,3,2,4
30896_0,248,177,190,3,3,8
31008_0,344,174.5,190,3,3,11
31104_0,282,175.5,190,3,2,9
31112_0,237,177.5,189.5,3,12,7
31212_0,191,177,188.5,3,4,6
31311_0,286,176,189.5,3,6,9
31431_0,202,175.5,190,3,3,6
31451_0,246,175,189.5,3,3,8
31522_0,247,176.5,220,3,8,8
31625_0,199,176,190,3,2,6
31718_0,282,175.5,190,3,2,9
31835_0,291,175,190,3,6,9
31894_0,201,176,190,3,4,6
31907_0,232,190,205,3,7,7
31913_0,247,177,190,3,9,8
31967_0,243,176.5,190,3,5,7
32057_0,198,175.5,190,3,2,6
32158_0,282,176,190,3,1,9
32172_0,211,178.5,189.5,3,1,6
32196_0,251,175,190,3,1,8
32262_0,340,174.5,189,3,2,11
32302_0,248,178.5,216,3,3,8
32574_0,285,175.5,190,3,1,9
32792_0,212,177,188,3,6,6
32835_0,284,176,190,3,5,9
32845_0,341,175,190,3,2,11
33007_0,246,175.5,220,3,7,8
33013_0,285,176.5,190,3,5,9
33212_0,213,176,189.5,3,3,7
33413_0,282,175.5,190,3,2,9
33425_0,180,176,186,3,9,5
33469_0,190,175.5,189.5,3,1,6
33532_0,211,178.5,189.5,3,2,6
33555_0,245,176,189,3,2,8
33692_0,245,175,189,3,1,8
33759_0,210,177.5,189,3,1,6
33942_0,284,176,190,3,4,9
33948_0,340,174.5,190,3,2,11
34219_0,282,175.5,190,3,2,9
34230_0,191,174.5,189.5,3,2,6
34281_0,196,175,189.5,3,1,6
34298_0,282,176,190,3,1,9
34342_0,281,176,190,3,1,9
34352_0,340,176.5,189.5,3,3,11
34726_0,247,177,220,3,5,8
34758_0,196,174.5,189.5,3,3,6
34780_0,339,176.5,189.5,3,2,11
35289_0,229,177.5,190,3,4,7
35398_0,200,175.5,190,3,2,6
35534_0,222,177,190,3,1,7
35639_0,194,174.5,189.5,3,4,6
35654_0,213,177,189.5,3,2,7
35846_0,248,206.5,251,3,7,8
35958_0,344,177,190,3,6,11
35981_0,203,176,190,3,1,6
35991_0,340,174.5,189,3,2,11
36053_0,198,175.5,190,3,2,6
36112_0,282,175.5,190,3,1,9
36228_0,341,174.5,190,3,3,11
36541_0,282,175,190,3,2,9
36650_0,343,176.5,190,3,4,11
36873_0,284,175,189.5,3,11,9
36965_0,346,174.5,190,3,2,11
37145_0,190,176,190,3,4,6
37362_0,340,175,190,3,3,11
37700_0,246,175,189.5,3,1,8
37717_0,190,176,190,3,4,6
37793_0,282,175.5,190,3,2,9
38031_0,339,176,188.5,3,1,11
38133_0,287,175.5,190,3,3,9
38143_0,291,176.5,190,3,7,9
38432_0,190,176.5,190,3,2,6
38675_0,282,175.5,190,3,2,9
38691_0,226,175.5,189.5,3,1,7
38841_0,194,174.5,189.5,3,2,6
38867_0,339,176,190,3,2,11
38961_0,188,175.5,190,3,1,6
39110_0,252,177.5,190,3,1,8
39182_0,229,177.5,190,3,4,7
39200_0,339,175,189.5,3,2,11
39358_0,343,174.5,190,3,5,11
39499_0,282,177,190,3,2,9
